Department Family,Entity,Paid Date,Expense Type,Expense Area,Supplier,Transaction No,Amount,Description,Post Code,Country
Department of Health,NHS Business Services Authority,11/06/2024,IT Hardware Purchases,DDAT,COMPUTACENTER (UK) LTD,80149395,"110,218.80","Dell Latitude 5440 14"" Intel Core i7",AL10 9TW,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,Exemption Check Costs,Operations,DEPARTMENT FOR WORK AND PENSIONS,80148891,"52,704.00",Live Running Costs regarding the twice,NE38 7SF,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,Exemption Check Costs,Operations,DEPARTMENT FOR WORK AND PENSIONS,80148892,"105,408.00",Live Running Costs regarding the twice,NE38 7SF,Great Britain
Department of Health,NHS Business Services Authority,18/06/2024,Rent,"Finance, Commercial & Estates",EMERSON MANAGEMENT SERVICES,80149417,"42,429.60",2ND FLOOR RIDGEWAY HSE JUN/SEPT2024,SK9 7LF,Great Britain
Department of Health,NHS Business Services Authority,18/06/2024,Rent,"Finance, Commercial & Estates",EMERSON MANAGEMENT SERVICES,80149418,"83,368.20",GRND/1ST FLOOR RIDGWAY HSE  JUN/SEPT24,SK9 7LF,Great Britain
Department of Health,NHS Business Services Authority,04/06/2024,IBM - Milestones,Operations,IBM UK LTD,80149074,"28,408.50",ESR IBM Offline Tertiary Backup Solution,PO6 3AU,Great Britain
Department of Health,NHS Business Services Authority,21/06/2024,IBM - Baseline,Operations,IBM UK LTD,80149451,"23,279.08",IBM ESR Service Charges FY21-25,PO6 3AU,Great Britain
Department of Health,NHS Business Services Authority,21/06/2024,IBM - Baseline,Operations,IBM UK LTD,80149481,"3,208,848.43",IBM ESR Service Charges FY21-25,PO6 3AU,Great Britain
Department of Health,NHS Business Services Authority,21/06/2024,IBM Exp's Sol - Trx Charges,Operations,IBM UK LTD,80149528,"83,496.17",IBM ESR Expenses Solutions,PO6 3AU,Great Britain
Department of Health,NHS Business Services Authority,25/06/2024,IBM - Baseline,Operations,IBM UK LTD,80149712,"25,802.33",IBM ESR Service Charges FY21-25,PO6 3AU,Great Britain
Department of Health,NHS Business Services Authority,25/06/2024,IBM - Baseline,Operations,IBM UK LTD,80149713,"52,046.03",IBM ESR Service Charges FY21-25,PO6 3AU,Great Britain
Department of Health,NHS Business Services Authority,11/06/2024,Minor Works,"Finance, Commercial & Estates",INTEGRATED HEALTH PROJECTS,80149242,"33,238.28",RELATES TO P/O 42655 GREENFINCH WAY,HP2 7TR,Great Britain
Department of Health,NHS Business Services Authority,14/06/2024,External Project Support,Citizen Services,KAINOS SOFTWARE LIMITED,80149448,"94,601.00",B98053 -SOW-SE046 BLC Public Beta-SOW,BT7 1NT,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,External Project Support,Workforce Services,KAINOS SOFTWARE LIMITED,80149947,"73,946.80",A98049(Revenue) SOW-SE044 Adult Social,BT7 1NT,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,External Project Support,Workforce Services,KAINOS SOFTWARE LIMITED,80149947,"390,653.60",A99084 (Capital) SOW-SE044 Adult,BT7 1NT,Great Britain
Department of Health,NHS Business Services Authority,21/06/2024,External Audit Fees,People & Corporate Services,NATIONAL AUDIT OFFICE,80149789,"125,000.00",AUDIT FEES 23/24,SW1W 9SP,Great Britain
Department of Health,NHS Business Services Authority,06/06/2024,Rates Charges,"Finance, Commercial & Estates",NEWCASTLE CITY COUNCIL,50040339,"28,938.00",BRIDGE HSE 69110059424 JUN2024,NE99 2PT,Great Britain
Department of Health,NHS Business Services Authority,14/06/2024,Professional Fees,"Digital, Data & Technology",ORACLE CORPORATION UK LTD,80149454,"360,000.00",Cloud Services - B88206 - Oracle PaaS,RG6 1RA,Great Britain
Department of Health,NHS Business Services Authority,07/06/2024,Postage Charges,Operations,ROYAL MAIL,80148834,"21,936.35",A/C - 0912819048,S49 1HQ,Great Britain
